Comment: 
Version: 2.3 [3.0.8263]
File Name: C:\Users\Algiz 8X\Desktop\230621_toma5\cavendish\PSR-1100f_SN22A44H3_00040.sed
Instrument: PSR-1100f_22A44H3
Detectors: 512,0,0
Measurement: REFLECTANCE
Date: 06/21/2023,06/21/2023
Time: 10:49:25.71,11:02:42.55
Temperature (C): 29.04,31.29
Battery Voltage: 8.27,8.20
Averages: 10,10
Integration: 23,100
Dark Mode: AUTO,AUTO
Foreoptic: FIBER1 {RADIANCE},FIBER1 {RADIANCE}
Radiometric Calibration: RADIANCE
Units: W/m^2/sr/nm
Wavelength Range: 320,1100
Latitude: n/a
Longitude: n/a
Altitude: n/a
UTC Time: n/a
Satellites: n/a
Calibrated Reference Correction File: Sticker
Channels: 781
Columns [2]:
Data:
Wvl	Reflect. %
630.0	3.7492
631.0	3.7619
632.0	3.7674
633.0	3.7542
634.0	3.7045
635.0	3.6468
636.0	3.6348
637.0	3.5982
638.0	3.5309
639.0	3.4574
640.0	3.3836
641.0	3.3121
642.0	3.2383
643.0	3.1481
644.0	3.0210
645.0	2.9382
646.0	2.8855
647.0	2.8474
648.0	2.7805
649.0	2.6880
650.0	2.6396
651.0	2.5958
652.0	2.5452
653.0	2.5361
654.0	2.5381
655.0	2.5247
656.0	2.4952
657.0	2.4629
658.0	2.4785
659.0	2.4662
660.0	2.4179
661.0	2.3757
662.0	2.3438
663.0	2.3294
664.0	2.2784
665.0	2.2254
666.0	2.2374
667.0	2.2154
668.0	2.1695
669.0	2.1539
670.0	2.1493
671.0	2.1509
672.0	2.1397
673.0	2.1318
674.0	2.1454
675.0	2.1308
676.0	2.1096
677.0	2.1457
678.0	2.1557
679.0	2.1379
680.0	2.1578
681.0	2.1999
682.0	2.2609
683.0	2.3113
684.0	2.3525
685.0	2.3715
686.0	2.4675
687.0	2.6400
688.0	2.7739
689.0	2.9555
690.0	3.2096
691.0	3.4433
692.0	3.6961
693.0	4.0002
694.0	4.3501
695.0	4.7394
696.0	5.1556
697.0	5.5710
698.0	5.9746
699.0	6.3760
700.0	6.7714
701.0	7.1576
702.0	7.5388
703.0	7.9123
704.0	8.2728
705.0	8.5974
706.0	8.8897
707.0	9.1981
708.0	9.4927
709.0	9.7591
710.0	9.9905
711.0	10.2090
712.0	10.4580
713.0	10.6796
714.0	10.8709
715.0	11.0662
716.0	11.2616
717.0	11.4579
718.0	11.6231
719.0	11.7751
720.0	11.9476
721.0	12.0988
722.0	12.2288
723.0	12.3812
724.0	12.5164
725.0	12.6118
726.0	12.7372
727.0	12.8675
728.0	12.9565
729.0	13.0647
730.0	13.1913
731.0	13.2716
732.0	13.3434
733.0	13.4249
734.0	13.4861
735.0	13.5398
736.0	13.6096
737.0	13.6697
738.0	13.7166
739.0	13.7504
740.0	13.7875
741.0	13.8391
742.0	13.8748
743.0	13.9028
744.0	13.9342
745.0	13.9764
746.0	14.0231
747.0	14.0222
748.0	14.0216
749.0	14.0470
750.0	14.0766
751.0	14.1025
752.0	14.1097
753.0	14.1083
754.0	14.1033
755.0	14.1282
756.0	14.1588
757.0	14.1750
758.0	14.1629
759.0	14.1349
760.0	14.1279
761.0	14.1451
762.0	14.1862
763.0	14.1847
764.0	14.1750
765.0	14.1887
766.0	14.1860
767.0	14.1730
768.0	14.1729
769.0	14.1823
770.0	14.1990
771.0	14.1784
772.0	14.1533
773.0	14.1629
774.0	14.1843
775.0	14.2093
776.0	14.2043
777.0	14.1969
778.0	14.2016
779.0	14.2014
780.0	14.2001
781.0	14.2054
782.0	14.2002
783.0	14.1860
784.0	14.1986
785.0	14.2161
786.0	14.2190
787.0	14.2203
788.0	14.2209
789.0	14.2222
790.0	14.2245
791.0	14.2278
792.0	14.2295
793.0	14.2229
794.0	14.1953
795.0	14.2028
796.0	14.2413
797.0	14.2365
798.0	14.2272
799.0	14.2306
800.0	14.2458
801.0	14.2595
802.0	14.2433
803.0	14.2437
804.0	14.2701
805.0	14.2743
806.0	14.2646
807.0	14.2428
808.0	14.2347
809.0	14.2420
810.0	14.2711
811.0	14.2855
812.0	14.2659
813.0	14.2651
814.0	14.2725
815.0	14.2715
816.0	14.2710
817.0	14.2717
818.0	14.2708
819.0	14.2706
820.0	14.2738
821.0	14.2759
822.0	14.2767
823.0	14.2781
824.0	14.2739
825.0	14.2606
826.0	14.2407
827.0	14.2397
828.0	14.3193
829.0	14.3364
830.0	14.2840
831.0	14.2797
832.0	14.2873
833.0	14.2813
834.0	14.2796
835.0	14.2803
836.0	14.2707
837.0	14.2690
838.0	14.2859
839.0	14.2864
840.0	14.2818
841.0	14.2957
842.0	14.2832
843.0	14.2376
844.0	14.2582
845.0	14.2899
846.0	14.2826
847.0	14.2832
848.0	14.2888
849.0	14.2429
850.0	14.2200
851.0	14.2641
852.0	14.2824
853.0	14.2800
854.0	14.2798
855.0	14.2837
856.0	14.2928
857.0	14.2725
858.0	14.2525
859.0	14.2902
860.0	14.3094
861.0	14.3021
862.0	14.2912
863.0	14.2819
864.0	14.2824
865.0	14.2892
866.0	14.2949
867.0	14.2640
868.0	14.2412
869.0	14.2508
870.0	14.2779
871.0	14.3042
872.0	14.2595
873.0	14.2538
874.0	14.3165
875.0	14.3153
876.0	14.2845
877.0	14.2756
878.0	14.2649
879.0	14.2489
880.0	14.2288
881.0	14.2144
882.0	14.2147
883.0	14.2316
884.0	14.2609
885.0	14.2745
886.0	14.2793
887.0	14.2780
888.0	14.2530
889.0	14.2176
890.0	14.2366
891.0	14.2336
892.0	14.1617
893.0	14.1675
894.0	14.2271
895.0	14.2558
896.0	14.2627
897.0	14.2475
898.0	14.2454
899.0	14.2499
900.0	14.2568
901.0	14.2425
902.0	14.2019
903.0	14.1694
904.0	14.1516
905.0	14.1679
906.0	14.1782
907.0	14.1795
908.0	14.2044
909.0	14.2314
910.0	14.2433
911.0	14.2340
912.0	14.2047
913.0	14.1725
914.0	14.1447
915.0	14.1297
916.0	14.1251
917.0	14.1299
918.0	14.1456
919.0	14.1573
920.0	14.1568
921.0	14.1203
922.0	14.0745
923.0	14.1485
924.0	14.2137
925.0	14.2004
926.0	14.1818
927.0	14.1625
928.0	14.1572
929.0	14.1376
930.0	14.0894
931.0	14.0779
932.0	14.0842
933.0	14.0737
934.0	14.0467
935.0	14.0023
936.0	13.9837
937.0	13.9781
938.0	13.9583
939.0	13.9554
940.0	13.9774
941.0	14.0048
942.0	14.0233
943.0	13.9920
944.0	13.9509
945.0	13.9122
946.0	13.9036
947.0	13.9129
948.0	13.9248
949.0	13.9232
950.0	13.9025
951.0	13.8570
952.0	13.7909
953.0	13.6953
954.0	13.6669
955.0	13.7289
956.0	13.7616
957.0	13.7666
958.0	13.7294
959.0	13.7106
960.0	13.7237
961.0	13.6702
962.0	13.5954
963.0	13.5752
